variabel,adf_stat,p_value,status
usdidr_lag1,-17.350551701652115,5.274342372982165e-30,Stasioner
sp500_lag1,-8.137886809052588,1.0471975734961835e-12,Stasioner
oil_wti_lag1,-11.667399576739879,1.869853233629658e-21,Stasioner
dxy_lag1,-26.59814449343192,0.0,Stasioner
vix_lag1,-5.252760446267265,6.8542303463778175e-06,Stasioner
ust10y_lag1,-27.327134509206907,0.0,Stasioner
fed_funds_rate_lag1,-36.411965794837236,0.0,Stasioner
epu_lag1,-10.32483503400207,2.9442752073768176e-18,Stasioner
indonia_lag1,-5.970481347775081,1.9415990567211592e-07,Stasioner
bi_rate_lag1,-4.209395211808341,0.0006351825649724678,Stasioner
return_ihsg,-14.053242729210051,3.1500906784025454e-26,Stasioner
